census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,37 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Bar Lourinha,37 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",16,144.9724927,-37.81278437,"-37.812784372789494, 144.9724927199"
2022,39-41 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Lupino,Ground 41 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,20,144.9723924,-37.8127995,"-37.812799504978614, 144.97239238679998"
2022,39-41 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Lupino,Ground 41 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,60,144.9723924,-37.8127995,"-37.812799504978614, 144.97239238679998"
2022,2-18 Ridgway Place MELBOURNE VIC 3000,Melbourne (CBD),The Lyceum Club,2-18 Ridgway Place MELBOURNE VIC 3000,Clubs (Hospitality),85,144.9725951,-37.81314971,"-37.81314970940931, 144.97259506305"
2022,93-101 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Coffee Exchange,9-11 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,20,144.9731824,-37.81259964,"-37.812599635, 144.97318235905587"
2022,131-137 King Street MELBOURNE VIC 3000,Melbourne (CBD),Ibis Styles Kingsgate,"Basement, Part Ground & Levels 1-6 131 King Street MELBOURNE VIC 3000",Accommodation,37,144.9555049,-37.81708312,"-37.8170831234, 144.9555048584872"
2022,The Savoy On Little Collins 626-636 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Savoy Hotel Melbourne,Vibe Savoy Hotel Melbourne 626-630 Little Collins Street MELBOURNE VIC 3000,Accommodation,130,144.9539297,-37.81777223,"-37.8177722277, 144.953929733017"
2022,St James 555 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Goz City,502 Little Collins Street MELBOURNE VIC 3000,Takeaway Food Services,11,144.9578138,-37.81636535,"-37.81636534845, 144.95781378501067"
2022,St James 555 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Zucci,"Shop 1, 555 Bourke Street MELBOURNE VIC 3000",Hairdressing and Beauty Services,14,144.9578138,-37.81636535,"-37.81636534845, 144.95781378501067"
2022,573-585 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Coffee Logic,Part Ground 575 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,65,144.9566697,-37.81651311,"-37.816513109291506, 144.95666971704998"
2022,538-542 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Time-Lapse Brewers,"Shop 5-6, 540 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,21,144.956768,-37.81696668,"-37.81696667597237, 144.9567679862"
2022,538-542 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Fiord,"Rear Shop 8 & Shop 11, 540 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,12,144.956768,-37.81696668,"-37.81696667597237, 144.9567679862"
2022,538-542 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Aroma Restaurant,"Shop 2-3, 540 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,40,144.956768,-37.81696668,"-37.81696667597237, 144.9567679862"
2022,520-536 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Origins Cafe Shop Pty Ltd,"Shop 7, 530 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,12,144.95711,-37.81687975,"-37.8168797463, 144.95710995453825"
2022,520-536 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Origins Cafe Shop Pty Ltd,"Shop 7, 530 Little Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,8,144.95711,-37.81687975,"-37.8168797463, 144.95710995453825"
2022,457-471 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafe Felice,Part Ground 461 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,40,144.9601729,-37.81549193,"-37.81549193230968, 144.9601728808"
2022,RACV Building 483-501 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Le Petit Gateau,452-458 Little Collins Street MELBOURNE VIC 3000,Bakery Product Manufacturing (Non-factory based),10,144.9595844,-37.81588562,"-37.81588561749844, 144.9595844372"
2022,111-129 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Roti Bar,416-418 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,68,144.960636,-37.81581228,"-37.81581228435, 144.96063602022025"
2022,131-141 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Red Spice Road,"Unit 2, UprGround 131 Queen Street MELBOURNE VIC 3000",Cafes and Restaurants,300,144.9605335,-37.81549537,"-37.8154953739, 144.96053353722417"
2022,131-141 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),The Turf Accountants,"Unit 1, LwrGround 131 Queen Street MELBOURNE VIC 3000","Pubs, Taverns and Bars",60,144.9605335,-37.81549537,"-37.8154953739, 144.96053353722417"
2022,Galleria 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Belle's Hot Chicken Galleria,147 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,75,144.9629215,-37.81492944,"-37.81492943947073, 144.96292154949998"
2022,Galleria 385 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Starbucks,Shop E25 385 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,50,144.9629215,-37.81492944,"-37.81492943947073, 144.96292154949998"
2022,Excelsior 384-390 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),In A Rush Espresso,Ground 384 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,18,144.9617411,-37.81560564,"-37.81560564160144, 144.9617411281"
